#-----------------------------------------------------------------------------
# Date d'extraction : 26/12/2025 - 16h22 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATXHWD : Ecart de nombre de jours d'une vague de chaleur (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATXHWD;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;ATXHWD;
2503;42.7794;2.7755;RCP8.5;H1;7;
2504;42.779;2.873;RCP8.5;H1;7;
2505;42.7784;2.9706;RCP8.5;H1;7;
2506;42.7778;3.0681;RCP8.5;H1;0;
2564;42.5894;8.7114;RCP8.5;H1;0;
2565;42.5835;8.8083;RCP8.5;H1;3;
2566;42.5776;8.9052;RCP8.5;H1;6;
2567;42.5716;9.002;RCP8.5;H1;8;
2568;42.5654;9.0989;RCP8.5;H1;7;
2569;42.5592;9.1957;RCP8.5;H1;9;
2570;42.5529;9.2925;RCP8.5;H1;10;
2571;42.5465;9.3892;RCP8.5;H1;10;
2572;42.54;9.486;RCP8.5;H1;2;
2611;42.8106;-0.6407;RCP8.5;H1;0;
2612;42.8133;-0.5431;RCP8.5;H1;19;
2613;42.8159;-0.4456;RCP8.5;H1;17;
2614;42.8184;-0.3481;RCP8.5;H1;20;
2615;42.8208;-0.2505;RCP8.5;H1;19;
2616;42.8231;-0.1529;RCP8.5;H1;24;
2617;42.8254;-0.0554;RCP8.5;H1;20;
2618;42.8275;0.0422;RCP8.5;H1;22;
2619;42.8296;0.1398;RCP8.5;H1;18;
2620;42.8315;0.2374;RCP8.5;H1;17;
2621;42.8334;0.335;RCP8.5;H1;19;
2622;42.8352;0.4326;RCP8.5;H1;19;
2623;42.8369;0.5302;RCP8.5;H1;16;
2624;42.8385;0.6278;RCP8.5;H1;16;
2625;42.84;0.7254;RCP8.5;H1;0;
2626;42.8414;0.823;RCP8.5;H1;16;
2627;42.8428;0.9206;RCP8.5;H1;17;
2628;42.844;1.0183;RCP8.5;H1;13;
2629;42.8452;1.1159;RCP8.5;H1;15;
2630;42.8463;1.2136;RCP8.5;H1;15;
2631;42.8472;1.3112;RCP8.5;H1;17;
2632;42.8481;1.4088;RCP8.5;H1;17;
2633;42.8489;1.5065;RCP8.5;H1;16;
2634;42.8497;1.6041;RCP8.5;H1;11;
2635;42.8503;1.7018;RCP8.5;H1;12;
2636;42.8508;1.7995;RCP8.5;H1;15;
2637;42.8513;1.8971;RCP8.5;H1;11;
2638;42.8516;1.9948;RCP8.5;H1;12;
2639;42.8519;2.0924;RCP8.5;H1;9;
2640;42.8521;2.1901;RCP8.5;H1;8;
2641;42.8522;2.2877;RCP8.5;H1;8;
2642;42.8522;2.3854;RCP8.5;H1;9;
2643;42.8521;2.4831;RCP8.5;H1;10;
2644;42.8519;2.5807;RCP8.5;H1;10;
2645;42.8516;2.6784;RCP8.5;H1;10;
2646;42.8513;2.776;RCP8.5;H1;8;
2647;42.8508;2.8737;RCP8.5;H1;6;
2648;42.8503;2.9714;RCP8.5;H1;7;
2649;42.8497;3.069;RCP8.5;H1;0;
2709;42.6492;8.9133;RCP8.5;H1;0;
